Contig_ID	Bin_ID	2-1-2.raw_fold	2-8-2.raw_fold	2-9-2.raw_fold	2-10-2.raw_fold	2-12-2.raw_fold
k127_704135	metabat.151	1.0804	0.9511	0.8437	0.3624	86.0018
k127_728601	metabat.151	1.0852	1.7242	3.7903	1.2757	84.8263
k127_736306	metabat.151	4.5344	13.3735	12.7767	39.2286	46.1989
k127_754511	metabat.151	5.1559	6.4981	14.5452	10.7242	74.4887
k127_780050	metabat.151	0.9417	1.0746	0.5547	0.4047	83.806
k127_804365	metabat.151	0.7158	5.4713	16.8077	7.6546	111.5616
k127_806165	metabat.151	3.0877	1.7442	2.6519	1.125	71.8364
k127_853295	metabat.151	1.6377	3.338	10.8945	2.0288	135.4697
k127_877440	metabat.151	0.8206	9.9341	9.6625	30.3215	35.8865
k127_911052	metabat.151	2.0782	0.89	1.1268	0.4624	82.9991
k127_912923	metabat.151	0.3156	9.3356	8.1094	31.3273	30.8669
k127_914472	metabat.151	0.1935	1.0349	0.3187	0.2006	93.3496
k127_944438	metabat.151	0.9271	1.1396	1.3414	0.8084	82.3578
k127_967478	metabat.151	0.3727	3.0441	7.5551	2.0209	60.0572
k127_1027316	metabat.151	0.6771	0.8213	0.3053	0.2606	78.8176
k127_1029036	metabat.151	0.94	1.1698	0.769	0.4809	80.8085
k127_1084877	metabat.151	0.8462	10.6651	10.1341	35.1207	33.9579
k127_1094605	metabat.151	2.832	9.5358	26.2021	7.3678	117.3111
k127_1105457	metabat.151	4.368	13.3548	53.1057	5.1519	9.6229
k127_1128039	metabat.151	0.6283	0.4488	0.5152	0.6866	74.3444
k127_1161599	metabat.151	0.0	0.1162	109.3137	0.0	18.4481
k127_1206217	metabat.151	0.702	0.7864	2.7582	1.2966	60.4237
k127_1243823	metabat.151	0.5732	1.0628	1.1617	0.2746	85.5013
k127_1266047	metabat.151	5.1677	12.022	10.7599	36.1011	50.2154
k127_1287725	metabat.151	7.617	3.3368	1.9448	1.8363	73.528
k127_1293604	metabat.151	0.8192	1.2451	1.3225	0.744	85.9424
k127_1294266	metabat.151	0.2556	0.8925	0.2286	0.3465	79.6226
k127_1308421	metabat.151	0.0	0.4151	3.1716	0.2373	56.0103
k127_1334102	metabat.151	1.4761	1.7443	2.8362	1.0935	86.1932
k127_1357258	metabat.151	0.5237	1.1069	5.9749	0.7506	74.115
k127_1382151	metabat.151	0.7555	1.2531	0.7604	0.4127	81.6482
k127_1462658	metabat.151	2.2295	11.3582	11.5645	33.1295	35.4673
k127_1467495	metabat.151	0.3538	0.4856	0.4366	0.2315	85.7884
k127_1474740	metabat.151	0.4501	1.1744	0.5437	0.8584	78.8837
k127_1502995	metabat.151	0.416	0.5535	0.1091	0.1454	79.6026
k127_1535354	metabat.151	0.051	5.6951	3.9084	26.5933	32.1589
k127_1557728	metabat.151	0.7537	1.0565	0.7477	0.5285	81.3704
k127_1634125	metabat.151	0.0124	0.8247	4.2599	0.3072	71.2607
k127_1651636	metabat.151	3.9688	3.7531	9.0438	6.4427	93.239
k127_1718293	metabat.151	0.0	7.8297	7.4364	27.7503	25.963
k127_1720272	metabat.151	2.3342	1.6236	4.3264	1.366	87.3936
k127_1724315	metabat.151	1.1221	1.1315	4.4657	1.7706	76.2612
k127_1729174	metabat.151	0.2437	0.8904	0.3177	0.217	88.8238
k127_1749870	metabat.151	0.8238	1.0547	0.385	0.4781	83.7978
k127_1753754	metabat.151	0.9499	1.6688	3.9992	1.331	90.6628
k127_1756314	metabat.151	1.9067	1.2493	5.6969	3.0929	132.1949
k127_1781183	metabat.151	1.6452	3.039	9.6679	3.5347	106.5167
k127_1782239	metabat.151	0.1809	0.8255	0.2797	0.1162	94.7761
k127_1819587	metabat.151	0.3658	1.9122	1.8073	1.6258	74.0186
k127_1833326	metabat.151	1.4507	0.6796	0.6621	0.6241	76.581
k127_1854435	metabat.151	0.6131	0.8228	2.2417	1.2486	91.3011
k127_1868591	metabat.151	0.4931	1.0396	0.4218	0.3456	88.2608
k127_1881858	metabat.151	1.3091	2.3679	5.1765	2.3404	118.0755
k127_1885610	metabat.151	0.3817	4.2276	29.3131	6.2929	78.8442
k127_1920381	metabat.151	0.5942	0.8742	0.5879	0.1863	88.3498
k127_1934185	metabat.151	0.4431	1.0599	0.3687	0.2367	90.1423
k127_1938221	metabat.151	0.5687	1.392	1.2484	0.5611	82.8572
k127_1944002	metabat.151	1.0757	1.0503	0.8379	0.7394	86.8496
k127_1984982	metabat.151	0.1772	0.1885	0.0196	0.1777	160.3385
k127_1987114	metabat.151	0.7819	1.0966	0.7219	0.37	79.8952
k127_1988348	metabat.151	0.0406	11.2372	9.8722	32.6651	30.2553
k127_1999564	metabat.151	0.0802	14.3439	29.3518	34.0519	89.7145
k127_2018394	metabat.151	4.6584	2.5819	4.8845	2.8835	92.0908
k127_2042846	metabat.151	2.3711	2.8149	7.0051	1.9993	123.1242
k127_2048212	metabat.151	2.2379	1.8476	3.1097	1.4001	88.1278
k127_2070829	metabat.151	3.9289	0.922	0.2478	0.6945	79.7193
k127_2071152	metabat.151	0.2213	0.9157	4.2048	1.6639	78.8086
k127_2085114	metabat.151	1.7304	5.4769	1.8538	4.7094	163.9434
k127_2085411	metabat.151	0.5202	1.9812	2.1938	2.7881	87.6349
k127_2110109	metabat.151	0.6892	1.5695	3.7711	2.2194	89.0882
k127_2160784	metabat.151	0.4628	0.8206	0.8174	0.3848	87.8859
k127_2161793	metabat.151	1.0996	1.303	0.7961	0.6896	82.7028
k127_2166569	metabat.151	3.6313	11.9248	14.1174	38.7978	52.9812
k127_2169082	metabat.151	0.1055	0.4721	2.6539	0.2774	77.8763
k127_2169428	metabat.151	0.6818	1.0588	1.003	0.6296	81.5278
k127_2178182	metabat.151	0.6691	1.0077	3.8686	0.6933	64.8028
k127_2205025	metabat.151	0.6919	1.1466	0.8072	0.3933	87.8448
k127_2234941	metabat.151	2.1257	0.837	0.9247	0.3847	79.1324
k127_2253887	metabat.151	1.3638	1.5359	1.1156	0.5171	82.1926
k127_2274171	metabat.151	0.5433	0.3661	1.9493	0.309	94.98
k127_2321850	metabat.151	8.8957	6.3484	15.6059	5.9201	95.2158
k127_2338761	metabat.151	1.5356	1.6482	1.2334	0.8834	81.0165
k127_2347785	metabat.151	1.0174	1.2304	0.7736	0.5581	86.8559
k127_2359188	metabat.151	9.0498	4.1454	3.636	1.9265	84.6271
k127_2396314	metabat.151	0.1239	0.5749	1.6983	0.9515	77.6278
k127_2408287	metabat.151	0.1821	0.9549	0.0276	0.1827	77.5323
k127_2409016	metabat.151	1.9506	12.879	12.1668	35.1614	46.9503
k127_2411325	metabat.151	0.52	0.8678	0.4243	0.2695	78.7951
k127_2426731	metabat.151	2.5848	9.8382	10.4879	26.2921	30.6317
k127_2427970	metabat.151	0.1698	0.2752	0.1259	0.1922	89.3534
k127_2466104	metabat.151	4.995	9.96	11.6031	33.1859	48.8612
k127_2472537	metabat.151	0.0	1.1111	1.9632	0.5895	105.5835
k127_2503106	metabat.151	0.2405	0.7579	0.1296	0.1676	114.6108
k127_2514458	metabat.151	0.9944	1.7146	6.145	1.5088	81.6629
k127_2516826	metabat.151	0.2241	0.4049	0.2609	0.3934	80.9129
k127_2537137	metabat.151	0.0625	1.025	5.0175	1.3509	88.7491
k127_2544841	metabat.151	0.3981	0.9663	0.6725	0.2703	77.4999
k127_2590994	metabat.151	0.2906	0.6011	0.5601	0.1672	100.5048
k127_2609062	metabat.151	0.8278	2.7464	11.5094	1.7218	99.6791
k127_2609577	metabat.151	1.0987	0.9968	1.183	0.6036	76.2905
k127_2617354	metabat.151	0.4284	1.1533	0.3393	0.0828	89.3981
k127_2618947	metabat.151	1.5809	1.542	1.606	0.5451	85.5054
k127_2650405	metabat.151	1.0743	2.126	3.1753	1.0927	99.5889
k127_2725610	metabat.151	5.8425	1.8647	1.4244	1.4236	88.2997
k127_2743098	metabat.151	0.6086	0.9918	0.6716	0.3221	86.9626
k127_2746043	metabat.151	0.7957	1.3986	0.7673	0.5133	84.826
k127_2752504	metabat.151	0.8998	1.0527	1.0071	1.3346	85.4581
k127_2764165	metabat.151	0.5108	1.1115	0.6786	0.2967	81.687
k127_2847090	metabat.151	0.8521	1.8529	3.4787	1.4393	89.2942
k127_2858115	metabat.151	0.8123	1.4778	1.1027	0.844	92.4491
k127_2863440	metabat.151	0.0161	0.3536	1.2557	0.1519	97.6483
k127_2865860	metabat.151	0.3664	0.8625	0.7599	0.9573	84.2163
k127_2867388	metabat.151	0.1799	0.0759	0.1916	0.2592	76.5389
k127_2868554	metabat.151	0.4097	0.8678	0.4625	0.322	90.0763
k127_2875752	metabat.151	0.2349	0.6096	0.105	0.2386	75.7974
k127_2904971	metabat.151	0.753	1.1649	0.7289	0.4937	87.0116
k127_2939238	metabat.151	0.7257	0.9466	1.3851	0.5683	84.404
k127_2969689	metabat.151	0.0	0.0752	83.9449	0.0408	5.9369
k127_2973368	metabat.151	0.568	1.213	0.7269	0.2879	86.7659
k127_3029858	metabat.151	0.7436	0.9984	0.6945	0.4374	82.8154
k127_3040831	metabat.151	0.1736	0.3338	0.2892	0.5001	79.0455
k127_3044171	metabat.151	0.7135	1.2318	0.9342	0.2878	89.2432
k127_3046002	metabat.151	0.8008	0.9956	0.5987	0.4743	84.9419
k127_3056721	metabat.151	0.3641	9.5256	10.4238	33.2535	35.886
k127_3060338	metabat.151	0.8622	1.5197	0.9326	0.5998	83.7119
k127_3073831	metabat.151	0.5189	1.0183	0.3368	0.3168	85.7719
k127_3078130	metabat.151	1.7977	1.2326	3.7383	1.3433	81.8914
k127_3106982	metabat.151	0.2831	0.6914	6.7825	0.9407	97.6263
k127_3141255	metabat.151	0.0	8.2146	6.0243	26.5629	30.3667
k127_3144461	metabat.151	2.4767	1.964	2.8989	1.1888	90.5431
k127_3223718	metabat.151	0.2398	0.9627	0.4539	0.112	80.1365
k127_3232961	metabat.151	0.7604	1.0398	1.2688	0.4161	87.5859
k127_3235998	metabat.151	0.0761	0.3369	0.6373	0.2493	82.5796
k127_3246133	metabat.151	1.3278	0.8216	1.3284	1.4959	89.7
k127_3255533	metabat.151	0.916	1.3424	0.5496	0.3531	83.8269
k127_3260426	metabat.151	4.4128	5.2294	5.6771	5.1254	96.0228
k127_3279437	metabat.151	1.2402	1.4897	1.5211	0.5062	82.371
k127_3300927	metabat.151	1.1644	1.385	0.825	0.4563	83.8486
k127_3305738	metabat.151	0.4616	1.4652	1.7582	1.3859	82.9798
k127_3329254	metabat.151	0.493	0.6141	0.5022	0.363	93.9429
k127_3339036	metabat.151	0.2129	0.1262	95.7155	0.0408	13.8117
k127_3375947	metabat.151	1.1891	1.228	0.5585	0.5628	87.1983
k127_3377634	metabat.151	5.9404	2.5597	2.909	2.0922	83.294
k127_3394354	metabat.151	3.6143	10.6867	9.5708	31.3325	37.0827
k127_3410923	metabat.151	0.3759	1.0378	0.2623	0.2069	82.688
k127_3446055	metabat.151	1.5527	1.3202	1.0816	0.6023	81.7363
k127_3458619	metabat.151	1.1974	1.2929	1.3901	0.8069	90.753
k127_3490910	metabat.151	0.7469	1.6097	0.762	0.6943	91.0328
